# Marker IDs can be arbitrary strings.
# Marker ID,	Time (in s)
1,	6.409
1,	7.823
1,	10.934
1,	13.290
2,	21.161
2,	22.764
2,	24.272
2,	26.534
3,	32.708
3,	34.688
3,	36.667
3,	39.212
_ch0_neuron0,	6.4433
_ch0_neuron0,	6.9417
_ch0_neuron0,	7.8436
_ch0_neuron0,	7.8628
_ch0_neuron0,	7.8727
_ch0_neuron0,	7.8765
_ch0_neuron0,	9.2132
_ch0_neuron0,	9.2923
_ch0_neuron0,	9.2984
_ch0_neuron0,	9.3043
_ch0_neuron0,	9.3112
_ch0_neuron0,	9.3272
_ch0_neuron0,	9.3382
_ch0_neuron0,	9.3495
_ch0_neuron0,	9.3648
_ch0_neuron0,	9.3717
_ch0_neuron0,	9.3781
_ch0_neuron0,	9.3849
_ch0_neuron0,	9.3915
_ch0_neuron0,	9.3988
_ch0_neuron0,	9.4070
_ch0_neuron0,	9.4176
_ch0_neuron0,	9.4492
_ch0_neuron0,	9.4779
_ch0_neuron0,	9.4943
_ch0_neuron0,	9.5123
_ch0_neuron0,	9.5541
_ch0_neuron0,	11.1234
_ch0_neuron0,	11.2046
_ch0_neuron0,	11.3081
_ch0_neuron0,	11.3122
_ch0_neuron0,	11.3240
_ch0_neuron0,	11.3310
_ch0_neuron0,	11.3358
_ch0_neuron0,	11.3406
_ch0_neuron0,	11.3458
_ch0_neuron0,	11.3511
_ch0_neuron0,	11.3563
_ch0_neuron0,	11.3670
_ch0_neuron0,	11.3683
_ch0_neuron0,	11.3841
_ch0_neuron0,	11.3899
_ch0_neuron0,	11.3962
_ch0_neuron0,	11.4028
_ch0_neuron0,	11.4270
_ch0_neuron0,	11.4372
_ch0_neuron0,	11.4522
_ch0_neuron0,	11.6146
_ch0_neuron0,	11.7363
_ch0_neuron0,	13.1205
_ch0_neuron0,	13.1334
_ch0_neuron0,	13.1505
_ch0_neuron0,	13.3146
_ch0_neuron0,	13.3357
_ch0_neuron0,	13.3475
_ch0_neuron0,	13.4163
_ch0_neuron0,	13.4337
_ch0_neuron0,	13.4624
_ch0_neuron0,	13.4819
_ch0_neuron0,	13.4993
_ch0_neuron0,	13.5262
_ch0_neuron0,	13.5392
_ch0_neuron0,	13.5813
_ch0_neuron0,	14.8294
_ch0_neuron0,	21.2042
_ch0_neuron0,	21.2262
_ch0_neuron0,	21.2548
_ch0_neuron0,	21.3095
_ch0_neuron0,	21.3255
_ch0_neuron0,	21.3378
_ch0_neuron0,	21.3441
_ch0_neuron0,	21.4293
_ch0_neuron0,	21.4501
_ch0_neuron0,	21.4994
_ch0_neuron0,	21.5584
_ch0_neuron0,	21.6305
_ch0_neuron0,	21.6520
_ch0_neuron0,	21.7148
_ch0_neuron0,	21.7297
_ch0_neuron0,	21.8273
_ch0_neuron0,	21.8526
_ch0_neuron0,	21.8941
_ch0_neuron0,	21.9207
_ch0_neuron0,	21.9363
_ch0_neuron0,	21.9521
_ch0_neuron0,	21.9624
_ch0_neuron0,	22.0091
_ch0_neuron0,	22.8594
_ch0_neuron0,	22.8849
_ch0_neuron0,	22.8936
_ch0_neuron0,	22.9494
_ch0_neuron0,	22.9571
_ch0_neuron0,	22.9680
_ch0_neuron0,	23.0031
_ch0_neuron0,	23.0647
_ch0_neuron0,	23.0782
_ch0_neuron0,	23.0890
_ch0_neuron0,	23.1217
_ch0_neuron0,	23.1467
_ch0_neuron0,	23.1541
_ch0_neuron0,	23.1608
_ch0_neuron0,	23.1905
_ch0_neuron0,	23.2443
_ch0_neuron0,	23.2543
_ch0_neuron0,	23.2688
_ch0_neuron0,	23.2858
_ch0_neuron0,	23.2975
_ch0_neuron0,	23.3845
_ch0_neuron0,	23.3993
_ch0_neuron0,	23.4236
_ch0_neuron0,	24.2990
_ch0_neuron0,	24.3253
_ch0_neuron0,	24.3357
_ch0_neuron0,	24.3678
_ch0_neuron0,	24.3998
_ch0_neuron0,	24.5196
_ch0_neuron0,	24.5312
_ch0_neuron0,	24.5533
_ch0_neuron0,	24.5725
_ch0_neuron0,	24.5877
_ch0_neuron0,	24.6152
_ch0_neuron0,	24.6678
_ch0_neuron0,	24.6866
_ch0_neuron0,	24.7073
_ch0_neuron0,	24.7277
_ch0_neuron0,	24.7452
_ch0_neuron0,	24.7694
_ch0_neuron0,	24.8459
_ch0_neuron0,	24.9759
_ch0_neuron0,	24.9857
_ch0_neuron0,	24.9918
_ch0_neuron0,	25.6286
_ch0_neuron0,	25.7269
_ch0_neuron0,	25.8421
_ch0_neuron0,	25.9729
_ch0_neuron0,	26.0549
_ch0_neuron0,	26.6531
_ch0_neuron0,	26.6710
_ch0_neuron0,	26.6795
_ch0_neuron0,	26.6981
_ch0_neuron0,	26.7175
_ch0_neuron0,	26.7580
_ch0_neuron0,	26.7734
_ch0_neuron0,	26.7912
_ch0_neuron0,	26.8131
_ch0_neuron0,	26.8624
_ch0_neuron0,	26.8941
_ch0_neuron0,	27.0284
_ch0_neuron0,	27.0450
_ch0_neuron0,	27.1276
_ch0_neuron0,	32.6156
_ch0_neuron0,	32.7352
_ch0_neuron0,	32.7530
_ch0_neuron0,	32.7684
_ch0_neuron0,	32.8019
_ch0_neuron0,	32.8159
_ch0_neuron0,	32.8226
_ch0_neuron0,	32.8378
_ch0_neuron0,	32.8466
_ch0_neuron0,	32.8562
_ch0_neuron0,	32.8656
_ch0_neuron0,	32.8752
_ch0_neuron0,	32.8834
_ch0_neuron0,	32.9078
_ch0_neuron0,	32.9159
_ch0_neuron0,	32.9246
_ch0_neuron0,	32.9432
_ch0_neuron0,	32.9518
_ch0_neuron0,	32.9602
_ch0_neuron0,	32.9853
_ch0_neuron0,	33.0106
_ch0_neuron0,	33.0473
_ch0_neuron0,	33.0584
_ch0_neuron0,	33.0944
_ch0_neuron0,	33.1403
_ch0_neuron0,	33.1830
_ch0_neuron0,	33.2179
_ch0_neuron0,	33.2958
_ch0_neuron0,	33.3363
_ch0_neuron0,	33.3795
_ch0_neuron0,	33.3972
_ch0_neuron0,	33.4211
_ch0_neuron0,	33.4752
_ch0_neuron0,	33.4929
_ch0_neuron0,	33.5082
_ch0_neuron0,	33.5343
_ch0_neuron0,	33.5529
_ch0_neuron0,	33.5733
_ch0_neuron0,	33.6281
_ch0_neuron0,	33.6429
_ch0_neuron0,	33.6783
_ch0_neuron0,	33.6933
_ch0_neuron0,	33.7061
_ch0_neuron0,	33.7150
_ch0_neuron0,	33.7329
_ch0_neuron0,	33.7505
_ch0_neuron0,	33.7639
_ch0_neuron0,	33.8339
_ch0_neuron0,	33.8658
_ch0_neuron0,	33.8857
_ch0_neuron0,	33.9316
_ch0_neuron0,	33.9600
_ch0_neuron0,	33.9682
_ch0_neuron0,	34.0017
_ch0_neuron0,	34.0350
_ch0_neuron0,	34.6005
_ch0_neuron0,	34.6061
_ch0_neuron0,	34.6247
_ch0_neuron0,	34.6816
_ch0_neuron0,	34.6925
_ch0_neuron0,	34.7064
_ch0_neuron0,	34.7252
_ch0_neuron0,	34.7342
_ch0_neuron0,	34.7859
_ch0_neuron0,	34.7967
_ch0_neuron0,	34.8130
_ch0_neuron0,	34.8200
_ch0_neuron0,	34.8691
_ch0_neuron0,	34.8913
_ch0_neuron0,	34.9153
_ch0_neuron0,	34.9360
_ch0_neuron0,	34.9528
_ch0_neuron0,	34.9721
_ch0_neuron0,	34.9827
_ch0_neuron0,	35.0124
_ch0_neuron0,	35.1605
_ch0_neuron0,	35.2178
_ch0_neuron0,	35.2275
_ch0_neuron0,	35.2369
_ch0_neuron0,	35.2450
_ch0_neuron0,	35.2534
_ch0_neuron0,	35.2788
_ch0_neuron0,	35.3109
_ch0_neuron0,	35.3233
_ch0_neuron0,	35.3322
_ch0_neuron0,	35.3617
_ch0_neuron0,	35.3698
_ch0_neuron0,	35.3787
_ch0_neuron0,	35.4039
_ch0_neuron0,	35.4136
_ch0_neuron0,	35.4224
_ch0_neuron0,	35.4297
_ch0_neuron0,	35.4402
_ch0_neuron0,	35.4768
_ch0_neuron0,	35.4960
_ch0_neuron0,	35.5194
_ch0_neuron0,	35.5454
_ch0_neuron0,	35.6015
_ch0_neuron0,	35.6156
_ch0_neuron0,	35.6279
_ch0_neuron0,	35.6399
_ch0_neuron0,	35.6470
_ch0_neuron0,	35.6532
_ch0_neuron0,	35.6802
_ch0_neuron0,	35.6882
_ch0_neuron0,	35.6967
_ch0_neuron0,	35.7036
_ch0_neuron0,	35.7182
_ch0_neuron0,	35.7339
_ch0_neuron0,	35.7442
_ch0_neuron0,	35.7684
_ch0_neuron0,	35.8020
_ch0_neuron0,	35.8152
_ch0_neuron0,	35.8475
_ch0_neuron0,	35.9055
_ch0_neuron0,	35.9339
_ch0_neuron0,	35.9560
_ch0_neuron0,	35.9646
_ch0_neuron0,	35.9889
_ch0_neuron0,	36.4247
_ch0_neuron0,	36.7112
_ch0_neuron0,	36.7477
_ch0_neuron0,	36.7925
_ch0_neuron0,	36.8090
_ch0_neuron0,	36.8182
_ch0_neuron0,	36.8551
_ch0_neuron0,	36.8713
_ch0_neuron0,	36.8889
_ch0_neuron0,	36.8983
_ch0_neuron0,	36.9077
_ch0_neuron0,	36.9261
_ch0_neuron0,	36.9675
_ch0_neuron0,	36.9816
_ch0_neuron0,	36.9945
