# Marker IDs can be arbitrary strings.
# Marker ID,	Time (in s)
1,	6.763
2,	17.708
3,	27.635
_ch0_neuron0,	6.8950
_ch0_neuron0,	6.9102
_ch0_neuron0,	6.9410
_ch0_neuron0,	6.9461
_ch0_neuron0,	6.9510
_ch0_neuron0,	6.9580
_ch0_neuron0,	6.9645
_ch0_neuron0,	6.9705
_ch0_neuron0,	6.9780
_ch0_neuron0,	6.9865
_ch0_neuron0,	7.0058
_ch0_neuron0,	7.0073
_ch0_neuron0,	7.0192
_ch0_neuron0,	7.0207
_ch0_neuron0,	7.0339
_ch0_neuron0,	7.0357
_ch0_neuron0,	7.0532
_ch0_neuron0,	7.1071
_ch0_neuron0,	7.1247
_ch0_neuron0,	7.1341
_ch0_neuron0,	7.1480
_ch0_neuron0,	7.1662
_ch0_neuron0,	7.3315
_ch0_neuron0,	8.2813
_ch0_neuron0,	8.5448
_ch0_neuron0,	8.5498
_ch0_neuron0,	8.5678
_ch0_neuron0,	8.6732
_ch0_neuron0,	8.6829
_ch0_neuron0,	8.6894
_ch0_neuron0,	8.6956
_ch0_neuron0,	8.8097
_ch0_neuron0,	10.0447
_ch0_neuron0,	10.0663
_ch0_neuron0,	10.0944
_ch0_neuron0,	11.1344
_ch0_neuron0,	11.1425
_ch0_neuron0,	17.7304
_ch0_neuron0,	17.7637
_ch0_neuron0,	17.7738
_ch0_neuron0,	17.7854
_ch0_neuron0,	17.7969
_ch0_neuron0,	17.8108
_ch0_neuron0,	17.8489
_ch0_neuron0,	17.8629
_ch0_neuron0,	17.8741
_ch0_neuron0,	17.8840
_ch0_neuron0,	17.8935
_ch0_neuron0,	17.9029
_ch0_neuron0,	17.9131
_ch0_neuron0,	17.9234
_ch0_neuron0,	17.9320
_ch0_neuron0,	17.9414
_ch0_neuron0,	17.9504
_ch0_neuron0,	17.9590
_ch0_neuron0,	17.9660
_ch0_neuron0,	17.9681
_ch0_neuron0,	17.9760
_ch0_neuron0,	17.9828
_ch0_neuron0,	17.9888
_ch0_neuron0,	17.9972
_ch0_neuron0,	18.0051
_ch0_neuron0,	18.0142
_ch0_neuron0,	18.0260
_ch0_neuron0,	18.0385
_ch0_neuron0,	18.0494
_ch0_neuron0,	18.0672
_ch0_neuron0,	18.1031
_ch0_neuron0,	18.1261
_ch0_neuron0,	18.1416
_ch0_neuron0,	18.9061
_ch0_neuron0,	19.2534
_ch0_neuron0,	20.2517
_ch0_neuron0,	20.3296
_ch0_neuron0,	20.4886
_ch0_neuron0,	21.3207
_ch0_neuron0,	21.4103
_ch0_neuron0,	21.5245
_ch0_neuron0,	21.5879
_ch0_neuron0,	22.4547
_ch0_neuron0,	22.6437
_ch0_neuron0,	27.7385
_ch0_neuron0,	27.7913
_ch0_neuron0,	27.8393
_ch0_neuron0,	27.8660
_ch0_neuron0,	28.0004
_ch0_neuron0,	28.0310
_ch0_neuron0,	28.0515
_ch0_neuron0,	28.0672
_ch0_neuron0,	28.0817
_ch0_neuron0,	28.0983
_ch0_neuron0,	28.1176
_ch0_neuron0,	28.1364
_ch0_neuron0,	28.1560
_ch0_neuron0,	28.1765
_ch0_neuron0,	28.2046
_ch0_neuron0,	28.2279
_ch0_neuron0,	28.2487
_ch0_neuron0,	28.2719
_ch0_neuron0,	28.2972
_ch0_neuron0,	28.2985
_ch0_neuron0,	28.3209
_ch0_neuron0,	28.3366
_ch0_neuron0,	28.3544
_ch0_neuron0,	28.3766
_ch0_neuron0,	28.4009
_ch0_neuron0,	28.4187
_ch0_neuron0,	28.4380
_ch0_neuron0,	28.4560
_ch0_neuron0,	28.4710
_ch0_neuron0,	28.5118
_ch0_neuron0,	28.5230
_ch0_neuron0,	28.5437
_ch0_neuron0,	28.5581
_ch0_neuron0,	29.0674
_ch0_neuron0,	29.1664
_ch0_neuron0,	29.2068
_ch0_neuron0,	29.2362
_ch0_neuron0,	29.4088
_ch0_neuron0,	29.4355
_ch0_neuron0,	29.4619
_ch0_neuron0,	29.4877
_ch0_neuron0,	29.5376
_ch0_neuron0,	29.7427
_ch0_neuron0,	29.8348
_ch0_neuron0,	29.8439
_ch0_neuron0,	29.8540
_ch0_neuron0,	29.8604
_ch0_neuron0,	30.3075
_ch0_neuron0,	30.3868
_ch0_neuron0,	30.3986
_ch0_neuron0,	30.4186
_ch0_neuron0,	30.4322
_ch0_neuron0,	30.4496
_ch0_neuron0,	30.4681
_ch0_neuron0,	30.4794
_ch0_neuron0,	30.4888
_ch0_neuron0,	30.5014
_ch0_neuron0,	30.5164
_ch0_neuron0,	30.5315
_ch0_neuron0,	30.5496
_ch0_neuron0,	30.5643
_ch0_neuron0,	30.5800
_ch0_neuron0,	30.5916
_ch0_neuron0,	30.6049
_ch0_neuron0,	30.6166
_ch0_neuron0,	30.6340
_ch0_neuron0,	30.6762
_ch0_neuron0,	30.6896
_ch0_neuron0,	30.7045
_ch0_neuron0,	30.7549
_ch0_neuron0,	30.7938
_ch0_neuron0,	30.8174
_ch0_neuron0,	30.8332
_ch0_neuron0,	30.8489
_ch0_neuron0,	30.8620
_ch0_neuron0,	30.8817
_ch0_neuron0,	30.9569
_ch0_neuron0,	31.4426
_ch0_neuron0,	31.4634
_ch0_neuron0,	31.4855
_ch0_neuron0,	31.4957
_ch0_neuron0,	31.5073
_ch0_neuron0,	31.5239
_ch0_neuron0,	31.8062
_ch0_neuron0,	32.0335
_ch0_neuron0,	32.9611
_ch0_neuron0,	32.9866
_ch0_neuron0,	33.3205
_ch0_neuron0,	33.3889
_ch0_neuron0,	33.4321
_ch0_neuron0,	33.4800
_ch0_neuron0,	33.5156
_ch0_neuron0,	33.6853
_ch0_neuron0,	33.8696
_ch0_neuron0,	33.9172
_ch0_neuron0,	33.9267
_ch0_neuron0,	33.9310
_ch0_neuron0,	33.9342
_neuron0threshhig-1250,	0.0000
_neuron0threshlow-3655,	0.0000
