# Marker IDs can be arbitrary strings.
# Marker ID,	Time (in s)
8,	11.8812
1,	23.6870
0,	52.6828
1,	63.4580
0,	93.0132
1,	103.3768
0,	133.0206
1,	143.6416
0,	174.0998
1,	183.5858
0,	213.4360
1,	224.4956
0,	253.7038
1,	264.5338
0,	294.1000
1,	304.4792
0,	334.1148
1,	344.2524
0,	374.3230
1,	384.0670
0,	414.9526
8,	500.1048
2,	513.0484
0,	541.0518
2,	551.4152
0,	581.6992
2,	591.7074
0,	621.7450
2,	631.7216
0,	661.9610
2,	671.6526
0,	701.6548
2,	713.2750
0,	741.9540
2,	752.0650
0,	781.8944
2,	792.5294
0,	822.4226
2,	833.0950
0,	862.4680
2,	873.0204
0,	903.1546
8,	1028.4600
3,	1039.6796
0,	1068.8234
3,	1079.5548
0,	1109.5458
3,	1119.7880
0,	1149.8030
3,	1160.2238
0,	1190.0808
3,	1200.2658
0,	1230.2480
3,	1240.2028
0,	1270.4318
3,	1280.6524
0,	1310.6428
3,	1320.5294
0,	1350.7140
3,	1361.4320
0,	1391.0150
3,	1401.2796
0,	1430.9628
8,	1483.0566
4,	1498.2034
0,	1524.0106
4,	1535.1948
0,	1564.3682
4,	1574.7996
0,	1604.4976
4,	1615.4450
0,	1644.4234
4,	1654.9782
0,	1684.8850
4,	1694.7336
0,	1725.1856
4,	1735.5370
0,	1765.3662
4,	1775.3224
0,	1804.7324
4,	1815.8008
0,	1845.5838
4,	1855.6952
0,	1885.8276
8,	1937.3468
5,	1948.4162
0,	1978.5880
5,	1988.3418
0,	2018.8382
5,	2028.5440
0,	2059.6086
5,	2069.9726
0,	2098.9932
5,	2108.7878
0,	2139.1576
5,	2149.0456
0,	2179.3394
5,	2189.4136
0,	2219.1280
5,	2229.6654
0,	2259.9150
5,	2269.6416
0,	2299.6648
5,	2310.0282
0,	2339.6606
8,	2424.7506
6,	2435.9494
0,	2465.9088
6,	2476.1022
0,	2505.9356
6,	2515.9486
0,	2546.0204
6,	2557.3396
0,	2586.3946
6,	2595.9210
0,	2626.7766
6,	2636.8018
0,	2667.0172
6,	2677.7920
0,	2707.2588
6,	2717.2612
0,	2747.1976
6,	2756.6862
0,	2787.1646
6,	2798.1338
0,	2827.5348
8,	2911.2846
7,	2923.4460
0,	2952.2000
7,	2963.6058
0,	2992.4486
7,	3002.5236
0,	3033.8476
7,	3042.4918
0,	3073.2850
7,	3083.2646
0,	3113.7868
7,	3122.8596
0,	3152.3672
7,	3163.1486
0,	3193.5186
7,	3204.1268
0,	3232.7320
7,	3243.9346
0,	3274.0450
7,	3283.9856
0,	3313.5396
